player_id,name,team,position_id,total_points
1,Raya,ARS,1,1
2,Arrizabalaga,ARS,1,0
3,Hein,ARS,1,0
4,Setford,ARS,1,0
5,Gabriel,ARS,2,1
6,Saliba,ARS,2,1
7,Calafiori,ARS,2,1
8,J.Timber,ARS,2,1
9,Kiwior,ARS,2,0
10,Lewis-Skelly,ARS,2,0
11,White,ARS,2,0
12,Zinchenko,NFO,2,0
13,Clarke,ARS,2,0
14,Kacurri,ARS,2,0
15,Nichols,ARS,2,0
16,Saka,ARS,3,12
17,Ødegaard,ARS,3,0
18,Madueke,ARS,3,0
19,Martinelli,ARS,3,0
20,Trossard,ARS,3,9
21,Rice,ARS,3,2
22,Merino,ARS,3,5
23,Fábio Vieira,ARS,3,0
24,Nørgaard,ARS,3,0
25,Nwaneri,ARS,3,0
26,Zubimendi,ARS,3,5
27,Nelson,BRE,3,1
28,Kabia,ARS,3,0
29,Sambi,ARS,3,0
30,Havertz,ARS,4,0
31,G.Jesus,ARS,4,0
32,Martinez,AVL,1,14
33,M.Bizot,AVL,1,0
34,Gauci,AVL,1,0
35,Marschall,AVL,1,0
36,Cash,AVL,2,6
37,Digne,AVL,2,9
38,Konsa,AVL,2,6
39,Maatsen,AVL,2,0
40,Mings,AVL,2,0
41,Pau,AVL,2,6
42,A.García,AVL,2,0
43,Alex Moreno,AVL,2,0
44,Bogarde,AVL,2,1
45,Sousa,AVL,2,0
46,Yasin,AVL,2,0
47,Rogers,AVL,3,2
48,Tielemans,AVL,3,4
49,Bailey,AVL,3,0
50,Buendía,AVL,3,11
51,Iling Jr,AVL,3,0
52,J.Ramsey,NEW,3,2
53,Malen,AVL,3,6
54,McGinn,AVL,3,3
55,Barkley,AVL,3,6
56,Barrenechea,AVL,3,0
57,Dobbin,AVL,3,0
58,Kamara,AVL,3,2
59,Onana,AVL,3,9
60,Broggio,AVL,3,0
61,Dendoncker,AVL,3,0
62,Jimoh-Aloba,AVL,3,0
63,Young,AVL,3,0
64,Watkins,AVL,4,2
65,Redmond,AVL,4,0
66,Neto,BOU,1,0
67,Petrović,BOU,1,1
68,Dennis,BOU,1,0
69,McKenna,BOU,1,0
70,Paulsen,BOU,1,0
71,Zabarnyi,BOU,2,0
72,Senesi,BOU,2,2
73,Smith,BOU,2,1
74,Truffert,BOU,2,0
75,Akinmboni,BOU,2,0
76,Bevan,BOU,2,0
77,Hill,BOU,2,0
78,J.Araujo,BOU,2,0
79,Mepham,BOU,2,0
80,Soler,BOU,2,0
81,Kluivert,BOU,3,2
82,Semenyo,BOU,3,0
83,O.Dango,BRE,3,4
84,Tavernier,BOU,3,2
85,Adams,BOU,3,2
86,Brooks,BOU,3,1
87,Christie,BOU,3,1
88,Cook,BOU,3,1
89,Philip,BOU,3,0
90,Scott,BOU,3,2
91,Sinisterra,BOU,3,0
92,Faivre,BOU,3,0
93,H.Traorè,BOU,3,0
94,Sadi,BOU,3,0
95,Silcott-Duberry,BOU,3,0
96,Winterburn,BOU,3,0
97,Evanilson,BOU,4,2
98,Enes Ünal,BOU,4,0
99,Adu-Adjei,BOU,4,0
100,Kroupi.Jr,BOU,4,1
101,Kelleher,BRE,1,2
102,Balcombe,BRE,1,0
103,Cox,BRE,1,0
104,Eyestone,BRE,1,0
105,Valdimarsson,BRE,1,0
106,Collins,BRE,2,2
107,Lewis-Potter,BRE,2,0
108,Ajer,BRE,2,0
109,Henry,BRE,2,1
110,Kayode,BRE,2,4
111,Pinnock,BRE,2,0
112,Roerslev,BRE,2,0
113,Van den Berg,BRE,2,2
114,Arthur,BRE,2,0
115,Fredrick,BRE,2,0
116,Hickey,BRE,2,2
117,Ji-soo,BRE,2,0
118,Meghoma,BRE,2,0
119,Mbeumo,MUN,3,7
120,Schade,BRE,3,8
121,Damsgaard,BRE,3,2
122,Milambo,BRE,3,0
123,Carvalho,BRE,3,0
124,Henderson,BRE,3,2
125,Janelt,BRE,3,1
126,Jensen,BRE,3,1
127,Nunes,BRE,3,0
128,Onyeka,BRE,3,0
129,Yarmoliuk,BRE,3,4
130,Donovan,BRE,3,0
131,Konak,BRE,3,0
132,Maghoma,BRE,3,0
133,Peart-Harris,BRE,3,0
134,Trevitt,BRE,3,0
135,Wissa,NEW,4,0
136,Thiago,BRE,4,13
137,Morgan,BRE,4,0
138,Steele,BHA,1,0
139,Verbruggen,BHA,1,6
140,McGill,BHA,1,0
141,Rushworth,BHA,1,0
142,Scherpen,BHA,1,0
143,Boscagli,BHA,2,0
144,Coppola,BHA,2,0
145,De Cuyper,BHA,2,1
146,Dunk,BHA,2,6
147,Estupiñan,BHA,2,0
148,F.Kadıoğlu,BHA,2,6
149,Igor,WHU,2,1
150,Lamptey,BHA,2,0
151,Van Hecke,BHA,2,5
152,Veltman,BHA,2,0
153,Webster,BHA,2,0
154,Cashin,BHA,2,0
155,Slater,BHA,2,0
156,Tasker,BHA,2,0
157,Mitoma,BHA,3,0
158,Georginio,BHA,3,2
159,March,BHA,3,0
160,Minteh,BHA,3,3
161,Enciso,BHA,3,0
162,Gruda,BHA,3,0
163,Hinshelwood,BHA,3,0
164,O'Riley,BHA,3,0
165,Sima,BHA,3,0
166,Ayari,BHA,3,3
167,Baleba,BHA,3,2
168,Buonanotte,CHE,3,0
169,Gomez,BHA,3,3
170,Milner,BHA,3,0
171,Sarmiento,BHA,3,0
172,Watson,BHA,3,0
173,Wieffer,BHA,3,3
174,Yalcouye,BHA,3,0
175,Knight,BHA,3,0
176,Mazilu,BHA,3,0
177,Moran,BHA,3,0
178,Welbeck,BHA,4,2
179,Ferguson,BHA,4,0
180,Tzimas,BHA,4,1
181,Kostoulas,BHA,4,1
182,Trafford,MCI,1,0
183,Weiss,BUR,1,0
184,Green,BUR,1,0
185,Hladký,BUR,1,0
186,Roberts,BUR,2,0
187,Walker,BUR,2,0
188,Delcroix,BUR,2,0
189,Dodgson,BUR,2,0
190,Ekdal,BUR,2,0
191,Estève,BUR,2,3
192,Hartman,BUR,2,1
193,Humphreys,BUR,2,0
194,Jordan,BUR,2,0
195,Lucas Pires,BUR,2,1
196,Sambo,BUR,2,0
197,Sonne,BUR,2,0
198,Tuanzebe,BUR,2,3
199,Worrall,BUR,2,0
200,Anthony,BUR,3,2
201,Benson,BUR,3,0
202,Bruun Larsen,BUR,3,1
203,Boateng,BUR,3,0
204,Churlinov,BUR,3,0
205,Cullen,BUR,3,10
206,Edwards,BUR,3,1
207,Hannibal,BUR,3,4
208,Koleosho,BUR,3,0
209,Laurent,BUR,3,0
210,Tchaouna,BUR,3,2
211,A.Ramsey,BUR,3,0
212,Adewumi,BUR,3,0
213,Banel,BUR,3,0
214,Trésor,BUR,3,0
215,Flemming,BUR,4,5
216,Amdouni,BUR,4,0
217,Foster,BUR,4,0
218,Barnes,BUR,4,0
219,Obafemi,BUR,4,0
220,Sánchez,CHE,1,6
221,Jörgensen,CHE,1,0
222,Penders,CHE,1,0
223,Slonina,CHE,1,0
224,Cucurella,CHE,2,6
225,James,CHE,2,1
226,Chalobah,CHE,2,6
227,Colwill,CHE,2,0
228,Gusto,CHE,2,15
229,B.Badiashile,CHE,2,0
230,Fofana,CHE,2,6
231,M.Sarr,CHE,2,0
232,Tosin,CHE,2,0
233,Acheampong,CHE,2,0
234,Anselmino,CHE,2,0
235,Palmer,CHE,3,0
236,Neto,CHE,3,9
237,Enzo,CHE,3,3
238,Estêvão,CHE,3,4
239,Gittens,CHE,3,1
240,Nkunku,CHE,3,0
241,Caicedo,CHE,3,2
242,Dewsbury-Hall,EVE,3,9
243,George,CHE,3,0
244,Lavia,CHE,3,0
245,Mudryk,CHE,3,0
246,Andrey Santos,CHE,3,1
247,D.Essugo,CHE,3,0
248,Paez,CHE,3,0
249,João Pedro,CHE,4,7
250,Delap,CHE,4,2
251,N.Jackson,CHE,4,0
252,Marc Guiu,CHE,4,1
253,Henderson,CRY,1,9
254,Benitez,CRY,1,0
255,Matthews,CRY,1,0
256,Muñoz,CRY,2,6
257,Lacroix,CRY,2,6
258,Mitchell,CRY,2,11
259,Sosa,CRY,2,0
260,Guéhi,CRY,2,0
261,Richards,CRY,2,8
262,Chadi Riad,CRY,2,0
263,Clyne,CRY,2,0
264,Holding,CRY,2,0
265,Kporha,CRY,2,0
266,Eze,ARS,3,2
267,Sarr,CRY,3,3
268,Doucouré,CRY,3,0
269,Esse,CRY,3,0
270,Hughes,CRY,3,1
271,Kamada,CRY,3,3
272,Lerma,CRY,3,2
273,Wharton,CRY,3,3
274,Agbinone,CRY,3,0
275,Ahamada,CRY,3,0
276,Devenny,CRY,3,0
277,Ebiowei,CRY,3,0
278,J.Rak-Sakyi,CRY,3,0
279,M.França,CRY,3,0
280,Ozoh,CRY,3,0
281,Rodney,CRY,3,0
282,Umeh,CRY,3,0
283,Mateta,CRY,4,2
284,Nketiah,CRY,4,0
285,Édouard,CRY,4,0
286,Marsh,CRY,4,0
287,Pickford,EVE,1,7
288,Travers,EVE,1,0
289,Tyrer,EVE,1,0
290,Branthwaite,EVE,2,0
291,Tarkowski,EVE,2,5
292,Mykolenko,EVE,2,6
293,O'Brien,EVE,2,1
294,Coleman,EVE,2,0
