name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Hume,DEF,SUN,532,17,2,15,45,87,0,0,0,3,0,3,0,0,0,0,0,1,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Alese,DEF,SUN,533,17,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Anderson,DEF,SUN,534,17,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Cirkin,DEF,SUN,535,17,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Hjelde,DEF,SUN,536,17,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Huggins,DEF,SUN,537,17,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Johnson,DEF,SUN,538,17,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
O'Nien,DEF,SUN,539,17,2,15,40,3,0,0,0,0,0,-7,0,0,1,0,0,-2,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Pembele,DEF,SUN,540,17,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Reinildo,DEF,SUN,541,17,2,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
Seelt,DEF,SUN,542,17,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1100,1145,1100,1120,1100,1170
