name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Gündoğan,MID,MCI,420,13,3,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Rodrigo,MID,MCI,421,13,3,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Kovačić,MID,MCI,422,13,3,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
N.Gonzalez,MID,MCI,423,13,3,15,59,90,0,0,1,0,0,13,0,0,0,0,0,3,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Bobb,MID,MCI,424,13,3,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Echeverri,MID,MCI,425,13,3,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
McAtee,MID,NFO,426,16,3,15,51,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,3,0,2025-12-06T15:00:00Z,1100,1130,1100,1110,1100,1150
Reijnders,MID,MCI,427,13,3,15,52,21,0,0,0,0,0,1,0,0,0,0,0,1,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Nypan,MID,MCI,428,13,3,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Phillips,MID,MCI,429,13,3,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Haaland,FWD,MCI,430,13,4,15,151,68,0,0,1,0,0,5,0,0,0,0,0,2,,,147,3,0,2025-12-06T15:00:00Z,1250,1305,1210,1230,1290,1380
Bayindir,GKP,MUN,431,14,1,15,48,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Onana,GKP,MUN,432,14,1,15,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Harrison,GKP,MUN,433,14,1,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Heaton,GKP,MUN,434,14,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Mee,GKP,MUN,435,14,1,15,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
De Ligt,DEF,MUN,436,14,2,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Martinez,DEF,MUN,437,14,2,15,48,21,0,0,0,0,0,5,0,0,0,0,0,1,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Mazraoui,DEF,MUN,438,14,2,15,49,68,0,0,0,1,0,11,0,0,0,0,0,2,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
D.Leon,DEF,MUN,439,14,2,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Dalot,DEF,MUN,440,14,2,15,44,83,0,1,0,1,0,20,0,0,0,0,0,5,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Dorgu,DEF,MUN,441,14,2,15,41,6,0,0,0,0,0,3,0,0,0,0,0,1,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Maguire,DEF,MUN,442,14,2,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Shaw,DEF,MUN,443,14,2,15,45,90,0,0,0,1,0,11,0,0,0,0,0,2,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Yoro,DEF,MUN,444,14,2,15,43,21,0,0,0,0,0,6,0,0,0,0,0,1,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Amass,DEF,MUN,445,14,2,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Fredricson,DEF,MUN,446,14,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Heaven,DEF,MUN,447,14,2,15,38,68,0,0,0,1,0,14,0,0,0,0,0,2,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Malacia,DEF,MUN,448,14,2,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
B.Fernandes,MID,MUN,449,14,3,15,92,90,2,1,0,1,0,74,3,0,0,0,0,18,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Cunha,MID,MUN,450,14,3,15,80,90,0,1,0,1,0,26,0,0,0,0,0,5,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Rashford,MID,MUN,451,14,3,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Amad,MID,MUN,452,14,3,15,63,90,0,1,0,1,0,27,1,0,0,0,0,6,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Garnacho,MID,CHE,453,7,3,15,64,76,0,0,1,0,0,8,0,0,0,0,0,3,,,142,0,0,2025-12-06T15:00:00Z,1180,1190,1140,1160,1220,1220
Antony,MID,MUN,454,14,3,15,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
Mount,MID,MUN,455,14,3,15,59,83,1,0,0,1,0,22,0,0,0,0,0,7,,,150,1,4,2025-12-08T20:00:00Z,1135,1205,1100,1150,1170,1260
