name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Raya,GKP,ARS,1,1,1,3,60,90,0,0,0,1,4,15,0,0,0,0,0,3,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Arrizabalaga,GKP,ARS,2,1,1,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Meslier,GKP,ARS,3,1,1,3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Gabriel,DEF,ARS,4,1,2,3,80,90,0,0,0,1,0,10,0,0,0,0,0,2,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
J.Timber,DEF,ARS,5,1,2,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Saliba,DEF,ARS,6,1,2,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Lewis-Skelly,MID,ARS,7,1,3,3,55,66,0,0,0,1,0,5,0,0,0,0,0,2,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Calafiori,DEF,ARS,8,1,2,3,58,66,0,0,0,1,0,0,0,0,0,0,0,2,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Hincapie,DEF,ARS,9,1,2,3,53,23,0,0,0,0,0,3,0,0,0,0,0,1,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
White,DEF,ARS,10,1,2,3,55,90,0,0,0,1,0,11,0,0,0,0,0,2,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Mosquera,DEF,ARS,11,1,2,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Saka,MID,ARS,12,1,3,3,95,89,0,0,0,1,0,13,0,0,0,0,0,2,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Rice,MID,ARS,13,1,3,3,74,90,0,1,0,1,0,22,0,0,0,0,0,5,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Eze,MID,ARS,14,1,3,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Ødegaard,MID,ARS,15,1,3,3,67,76,1,0,0,1,0,47,3,0,0,0,0,10,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
Madueke,MID,ARS,16,1,3,3,63,1,0,0,0,0,0,3,0,0,0,0,0,1,,,29,2,1,2026-09-06T15:30:00Z,4,5,0,0,0,0
