name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Raya,GKP,ARS,1,1,1,4,55,90,0,0,1,0,1,24,0,0,0,0,0,6,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Arrizabalaga,GKP,ARS,2,1,1,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Hein,GKP,ARS,3,1,1,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Setford,GKP,ARS,4,1,1,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Gabriel,DEF,ARS,5,1,2,4,61,90,0,0,1,0,0,32,1,0,0,0,0,9,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Saliba,DEF,ARS,6,1,2,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Calafiori,DEF,ARS,7,1,2,4,57,67,0,0,1,0,0,16,0,1,0,0,0,5,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
J.Timber,DEF,ARS,8,1,2,4,57,90,0,0,1,0,0,37,2,0,0,0,0,8,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Kiwior,DEF,ARS,9,1,2,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Lewis-Skelly,DEF,ARS,10,1,2,4,53,22,0,0,0,0,0,3,0,0,0,0,0,1,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
White,DEF,ARS,11,1,2,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Zinchenko,DEF,NFO,12,16,2,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1165,1205,1150,1230,1180,1180
Clarke,DEF,ARS,13,1,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Kacurri,DEF,ARS,14,1,2,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Nichols,DEF,ARS,15,1,2,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Saka,MID,ARS,16,1,3,4,98,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Ødegaard,MID,ARS,17,1,3,4,79,17,0,0,0,0,0,3,0,0,0,0,0,1,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Madueke,MID,ARS,18,1,3,4,70,78,0,0,1,0,0,24,0,0,0,0,0,3,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Martinelli,MID,ARS,19,1,3,4,69,12,0,0,0,0,0,4,0,0,0,0,0,1,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Trossard,MID,ARS,20,1,3,4,69,11,0,1,0,0,0,12,0,0,0,0,0,4,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Rice,MID,ARS,21,1,3,4,65,22,0,0,0,0,0,1,0,0,0,0,0,1,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Merino,MID,ARS,22,1,3,4,59,90,0,0,1,0,0,15,0,0,0,0,0,3,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Fábio Vieira,MID,ARS,23,1,3,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Nørgaard,MID,ARS,24,1,3,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Nwaneri,MID,ARS,25,1,3,4,53,72,0,0,1,0,0,8,0,0,0,0,0,3,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Zubimendi,MID,ARS,26,1,3,4,54,90,2,0,1,0,0,52,3,0,0,0,0,16,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Nelson,MID,BRE,27,5,3,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0,,,33,2,2,2025-09-13T19:00:00Z,1120,1185,1080,1080,1160,1290
Kabia,MID,ARS,28,1,3,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Sambi,MID,ARS,29,1,3,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Havertz,FWD,ARS,30,1,4,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
G.Jesus,FWD,ARS,31,1,4,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,,,31,3,0,2025-09-13T11:30:00Z,1320,1325,1350,1350,1290,1300
Martinez,GKP,AVL,32,2,1,4,50,90,0,0,1,0,2,27,0,0,0,0,0,6,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
M.Bizot,GKP,AVL,33,2,1,4,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Gauci,GKP,AVL,34,2,1,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Marschall,GKP,AVL,35,2,1,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Cash,DEF,AVL,36,2,2,4,45,90,0,0,1,0,0,13,0,1,0,0,0,5,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Digne,DEF,AVL,37,2,2,4,45,90,0,0,1,0,0,18,0,1,0,0,0,5,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Konsa,DEF,AVL,38,2,2,4,45,90,0,0,1,0,0,28,0,0,0,0,0,6,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Maatsen,DEF,AVL,39,2,2,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Mings,DEF,AVL,40,2,2,4,45,90,0,0,1,0,0,30,1,0,0,0,0,9,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Pau,DEF,AVL,41,2,2,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
A.García,DEF,AVL,42,2,2,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Alex Moreno,DEF,AVL,43,2,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Bogarde,DEF,AVL,44,2,2,4,40,82,0,0,1,0,0,35,3,0,0,0,0,9,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Sousa,DEF,AVL,45,2,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Yasin,DEF,AVL,46,2,2,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Rogers,MID,AVL,47,2,3,4,70,90,0,0,1,0,0,4,0,0,0,0,0,3,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Tielemans,MID,AVL,48,2,3,4,59,45,0,0,0,0,0,10,0,0,0,0,0,1,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Bailey,MID,AVL,49,2,3,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Buendía,MID,AVL,50,2,3,4,53,70,0,0,1,0,0,6,0,1,0,0,0,2,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
Iling Jr,MID,AVL,51,2,3,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,36,0,0,2025-09-13T14:00:00Z,1125,1250,1110,1200,1140,1300
J.Ramsey,MID,NEW,52,15,3,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,,,39,1,0,2025-09-13T14:00:00Z,1185,1245,1130,1170,1240,1320
