name,position,team,element,team_id,position_id,GW,value,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bps,bonus,yellow_cards,red_cards,penalties_saved,penalties_missed,total_points,was_home,opponent_team,fixture_id,team_h_score,team_a_score,kickoff_time,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
Raya,GKP,ARS,1,1,1,1,55,90,0,0,1,0,7,38,3,1,0,0,0,10,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Arrizabalaga,GKP,ARS,2,1,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Hein,GKP,ARS,3,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Setford,GKP,ARS,4,1,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Gabriel,DEF,ARS,5,1,2,1,60,90,0,0,1,0,0,23,0,0,0,0,0,6,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Saliba,DEF,ARS,6,1,2,1,60,90,0,0,1,0,0,25,1,0,0,0,0,9,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Calafiori,DEF,ARS,7,1,2,1,55,71,1,0,1,0,0,33,2,1,0,0,0,13,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
J.Timber,DEF,ARS,8,1,2,1,55,19,0,0,0,0,0,-3,0,1,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Kiwior,DEF,ARS,9,1,2,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Lewis-Skelly,DEF,ARS,10,1,2,1,55,18,0,0,0,0,0,-1,0,1,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
White,DEF,ARS,11,1,2,1,55,70,0,0,1,0,0,23,0,0,0,0,0,6,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Zinchenko,DEF,ARS,12,1,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Clarke,DEF,ARS,13,1,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Kacurri,DEF,ARS,14,1,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
Nichols,DEF,ARS,15,1,2,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,1,2025-08-17T15:30:00Z,1320,1325,1350,1350,1290,1300
